Id,Note Id,Related to Id,Related to Type
17580964,70018311431,70071758090,Contact
17581772,70018312244,70074593800,Contact
17583880,70018314357,70071758087,Contact
17584354,70018314831,70072728406,Contact
17648597,70018379430,70068416448,Contact
17648680,70018379513,70068871962,Contact
17648786,70018379619,70068779722,Contact
17648831,70018379664,70068378584,Contact
17648899,70018379732,70070148661,Contact
17649038,70018379871,70070148661,Contact
17649270,70018380103,70068848968,Contact
17649364,70018380197,70069198111,Contact
17649448,70018380282,70069532151,Contact
17649686,70018380522,70067606450,Contact
17649762,70018380598,70071152301,Contact
17649968,70018380804,70074116772,Contact
17650056,70018380892,70074116775,Contact
17655790,70018386644,70074116774,Contact
17656677,70018387533,70074687922,Contact
17683051,70018414018,70072078590,Contact
17683683,70018414654,70074846607,Contact
17683729,70018414701,70074846608,Contact
17683806,70018414780,70074687922,Contact
17683840,70018414814,70074116775,Contact
17683914,70018414888,70069532151,Contact
17683971,70018414945,70069198111,Contact
17684140,70018415114,70072078594,Contact
17684195,70018415170,70072078584,Contact
17685231,70018416217,70072728403,Contact
17685306,70018416292,70068463692,Contact
17685308,70018416294,70072513945,Contact
17685418,70018416404,70069050577,Contact
17685502,70018416488,70072513948,Contact
17685529,70018416515,70069050560,Contact
17685580,70018416567,70068078765,Contact
17729106,70018460265,70074913539,Contact
17729859,70018461020,70074846613,Contact
17734155,70018465322,70074972551,Contact
17748012,70018479215,70064409537,Contact
17748216,70018479419,70066137928,Contact
17748793,70018479998,70071383479,Contact
17749456,70018480663,70072078521,Contact
17750019,70018481226,70074023081,Contact
17750248,70018481456,70072078547,Contact
17750751,70018481959,70069980737,Contact
17750866,70018482074,70069980729,Contact
17751017,70018482225,70068463701,Contact
17751284,70018482493,70073809307,Contact
17855032,70018586553,70074068553,Contact
17859214,70018590748,70075210656,Contact
17904339,70018636163,70073809308,Contact
